"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",1.66,73,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",3.33,40,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",3.53,17,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",0.42,20,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.42,46,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.21,10,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,15,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.21,32,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.56,96,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.59,99,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",4.47,99,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.8,99,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.39,93,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.98,96,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",6.55,96,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",66.52,96,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",79.6,77,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",10.62,99,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",3.75,99,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",6.47,99,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",7.03,73,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",0.88,13,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0,3,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.48,10,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,4,1127,"2022-2023 Ligue 1"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0,1,1127,"2022-2023 Ligue 1"
