"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.48,93,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.48,96,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",3.86,98,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.71,99,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.4,96,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.88,98,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",6.51,98,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",68.39,98,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",83.5,92,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",9.39,99,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",3.06,95,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",4.87,75,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",5.41,41,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",0.65,12,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.09,1,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.33,3,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,2,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.12,10,3028,"Last 365 Days"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.83,95,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.44,88,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",3.74,93,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.83,98,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.42,93,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.83,93,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",6.86,95,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",62.98,98,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",86.5,90,433,"2022-2023 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",7.48,98,433,"2022-2023 Champions League"
