Player,Versus,StatGroup,Statistic,Per90,Percentile,BasedOnMinutes,scouting_period,,Goals
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,1.15,99,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,3.77,84,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,31.38,73,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,78.2,80,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,1.38,40,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,1.69,75,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),9.38,99,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,9.62,90,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0.38,18,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0.23,36,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.62,53,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Clearances,0.77,68,1170,2017-2018 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,1.69,58,1170,2017-2018 Champions League,,
