"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.41,54,1314,"2022-2023 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",0.89,54,1314,"2022-2023 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0.07,14,1314,"2022-2023 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0,4,1314,"2022-2023 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.3,74,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.3,74,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",2.71,80,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.6,91,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.21,64,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.51,77,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",4.82,77,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",27.09,15,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",75.6,58,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",0.9,9,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",1.51,72,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",5.72,82,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",6.62,77,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",0.9,42,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0,12,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",1.51,77,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0,20,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0,14,299,"2022 World Cup"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.57,95,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.46,97,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",2.68,82,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.33,94,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.27,94,2690,"2021-2022 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.74,99,2690,"2021-2022 La Liga"
